Step	Time	Epot	Ekin	Etot	T
1	0.010000	0.000000	6090.119217	6090.119217	1.007837
2	0.020000	0.000000	6085.853681	6085.853681	1.007053
3	0.030000	0.000000	6082.014699	6082.014699	1.006348
4	0.040000	0.000000	6078.559615	6078.559615	1.005713
5	0.050000	0.000000	6075.450039	6075.450039	1.005142
6	0.060000	0.000000	6072.651421	6072.651421	1.004628
7	0.070000	0.000000	6070.132665	6070.132665	1.004165
8	0.080000	0.000000	6067.865784	6067.865784	1.003748
9	0.090000	0.000000	6065.825591	6065.825591	1.003374
10	0.100000	0.000000	6063.989418	6063.989418	1.003036
11	0.110000	0.000000	6062.336862	6062.336862	1.002733
12	0.120000	0.000000	6060.849562	6060.849562	1.002459
13	0.130000	0.000000	6059.510991	6059.510991	1.002213
14	0.140000	0.000000	6058.306278	6058.306278	1.001992
15	0.150000	0.000000	6057.222036	6057.222036	1.001793
16	0.160000	0.000000	6056.246218	6056.246218	1.001614
17	0.170000	0.000000	6055.367982	6055.367982	1.001452
18	0.180000	0.000000	6054.577570	6054.577570	1.001307
19	0.190000	0.000000	6053.866198	6053.866198	1.001176
20	0.200000	0.000000	6053.225964	6053.225964	1.001059
21	0.210000	0.000000	6052.649754	6052.649754	1.000953
22	0.220000	0.000000	6052.131164	6052.131164	1.000858
23	0.230000	0.000000	6051.664433	6051.664433	1.000772
24	0.240000	0.000000	6051.244376	6051.244376	1.000695
25	0.250000	0.000000	6050.866324	6050.866324	1.000625
26	0.260000	0.000000	6050.526077	6050.526077	1.000563
27	0.270000	0.000000	6050.219856	6050.219856	1.000506
28	0.280000	0.000000	6049.944256	6049.944256	1.000456
29	0.290000	0.000000	6049.696216	6049.696216	1.000410
30	0.300000	0.000000	6049.472980	6049.472980	1.000369
31	0.310000	0.000000	6049.272068	6049.272068	1.000332
32	0.320000	0.000000	6049.091247	6049.091247	1.000299
33	0.330000	0.000000	6048.928508	6048.928508	1.000269
34	0.340000	0.000000	6048.782043	6048.782043	1.000242
35	0.350000	0.000000	6048.650224	6048.650224	1.000218
36	0.360000	0.000000	6048.531588	6048.531588	1.000196
37	0.370000	0.000000	6048.424815	6048.424815	1.000177
38	0.380000	0.000000	6048.328719	6048.328719	1.000159
39	0.390000	0.000000	6048.242233	6048.242233	1.000143
40	0.400000	0.000000	6048.164395	6048.164395	1.000129
41	0.410000	0.000000	6048.094342	6048.094342	1.000116
42	0.420000	0.000000	6048.031293	6048.031293	1.000104
43	0.430000	0.000000	6047.974550	6047.974550	1.000094
44	0.440000	0.000000	6047.923481	6047.923481	1.000084
45	0.450000	0.000000	6047.877518	6047.877518	1.000076
46	0.460000	0.000000	6047.836152	6047.836152	1.000068
47	0.470000	0.000000	6047.798923	6047.798923	1.000062
48	0.480000	0.000000	6047.765416	6047.765416	1.000055
49	0.490000	0.000000	6047.735260	6047.735260	1.000050
50	0.500000	0.000000	6047.708120	6047.708120	1.000045
51	0.510000	0.000000	6047.683694	6047.683694	1.000040
52	0.520000	0.000000	6047.661710	6047.661710	1.000036
53	0.530000	0.000000	6047.641925	6047.641925	1.000033
54	0.540000	0.000000	6047.624118	6047.624118	1.000029
55	0.550000	0.000000	6047.608092	6047.608092	1.000027
56	0.560000	0.000000	6047.593669	6047.593669	1.000024
57	0.570000	0.000000	6047.580688	6047.580688	1.000021
58	0.580000	0.000000	6047.569005	6047.569005	1.000019
59	0.590000	0.000000	6047.558490	6047.558490	1.000017
60	0.600000	0.000000	6047.549027	6047.549027	1.000016
61	0.610000	0.000000	6047.540510	6047.540510	1.000014
62	0.620000	0.000000	6047.532845	6047.532845	1.000013
63	0.630000	0.000000	6047.525946	6047.525946	1.000011
64	0.640000	0.000000	6047.519737	6047.519737	1.000010
65	0.650000	0.000000	6047.514149	6047.514149	1.000009
66	0.660000	0.000000	6047.509120	6047.509120	1.000008
67	0.670000	0.000000	6047.504594	6047.504594	1.000007
68	0.680000	0.000000	6047.500520	6047.500520	1.000007
69	0.690000	0.000000	6047.496854	6047.496854	1.000006
70	0.700000	0.000000	6047.493554	6047.493554	1.000005
71	0.710000	0.000000	6047.490585	6047.490585	1.000005
72	0.720000	0.000000	6047.487912	6047.487912	1.000004
73	0.730000	0.000000	6047.485507	6047.485507	1.000004
74	0.740000	0.000000	6047.483342	6047.483342	1.000004
