Step	Time	Epot	Ekin	Etot	T
1	0.010000	0.000000	6094.858702	6094.858702	1.007837
2	0.020000	0.000000	6094.858702	6094.858702	1.007837
3	0.030000	0.000000	6094.858702	6094.858702	1.007837
4	0.040000	0.000000	6094.858702	6094.858702	1.007837
5	0.050000	0.000000	6094.858702	6094.858702	1.007837
6	0.060000	0.000000	6094.858702	6094.858702	1.007837
7	0.070000	0.000000	6094.858702	6094.858702	1.007837
8	0.080000	0.000000	6094.858702	6094.858702	1.007837
9	0.090000	0.000000	6094.858702	6094.858702	1.007837
10	0.100000	0.000000	6094.858702	6094.858702	1.007837
11	0.110000	0.000000	6094.858702	6094.858702	1.007837
12	0.120000	0.000000	6094.858702	6094.858702	1.007837
13	0.130000	0.000000	6094.858702	6094.858702	1.007837
14	0.140000	0.000000	6094.858702	6094.858702	1.007837
15	0.150000	0.000000	6094.858702	6094.858702	1.007837
16	0.160000	0.000000	6094.858702	6094.858702	1.007837
17	0.170000	0.000000	6094.858702	6094.858702	1.007837
18	0.180000	0.000000	6094.858702	6094.858702	1.007837
19	0.190000	0.000000	6094.858702	6094.858702	1.007837
20	0.200000	0.000000	6094.858702	6094.858702	1.007837
21	0.210000	0.000000	6094.858702	6094.858702	1.007837
22	0.220000	0.000000	6094.858702	6094.858702	1.007837
23	0.230000	0.000000	6094.858702	6094.858702	1.007837
24	0.240000	0.000000	6094.858702	6094.858702	1.007837
25	0.250000	0.000000	6094.858702	6094.858702	1.007837
26	0.260000	0.000000	6094.858702	6094.858702	1.007837
27	0.270000	0.000000	6094.858702	6094.858702	1.007837
28	0.280000	0.000000	6094.858702	6094.858702	1.007837
29	0.290000	0.000000	6094.858702	6094.858702	1.007837
30	0.300000	0.000000	6094.858702	6094.858702	1.007837
31	0.310000	0.000000	6094.858702	6094.858702	1.007837
32	0.320000	0.000000	6094.858702	6094.858702	1.007837
33	0.330000	0.000000	6094.858702	6094.858702	1.007837
34	0.340000	0.000000	6094.858702	6094.858702	1.007837
35	0.350000	0.000000	6094.858702	6094.858702	1.007837
36	0.360000	0.000000	6094.858702	6094.858702	1.007837
37	0.370000	0.000000	6094.858702	6094.858702	1.007837
38	0.380000	0.000000	6094.858702	6094.858702	1.007837
39	0.390000	0.000000	6094.858702	6094.858702	1.007837
40	0.400000	0.000000	6094.858702	6094.858702	1.007837
41	0.410000	0.000000	6094.858702	6094.858702	1.007837
42	0.420000	0.000000	6094.858702	6094.858702	1.007837
43	0.430000	0.000000	6094.858702	6094.858702	1.007837
44	0.440000	0.000000	6094.858702	6094.858702	1.007837
45	0.450000	0.000000	6094.858702	6094.858702	1.007837
46	0.460000	0.000000	6094.858702	6094.858702	1.007837
47	0.470000	0.000000	6094.858702	6094.858702	1.007837
48	0.480000	0.000000	6094.858702	6094.858702	1.007837
49	0.490000	0.000000	6094.858702	6094.858702	1.007837
50	0.500000	0.000000	6094.858702	6094.858702	1.007837
51	0.510000	0.000000	6094.858702	6094.858702	1.007837
52	0.520000	0.000000	6094.858702	6094.858702	1.007837
53	0.530000	0.000000	6094.858702	6094.858702	1.007837
54	0.540000	0.000000	6094.858702	6094.858702	1.007837
55	0.550000	0.000000	6094.858702	6094.858702	1.007837
56	0.560000	0.000000	6094.858702	6094.858702	1.007837
57	0.570000	0.000000	6094.858702	6094.858702	1.007837
58	0.580000	0.000000	6094.858702	6094.858702	1.007837
59	0.590000	0.000000	6094.858702	6094.858702	1.007837
60	0.600000	0.000000	6094.858702	6094.858702	1.007837
61	0.610000	0.000000	6094.858702	6094.858702	1.007837
62	0.620000	0.000000	6094.858702	6094.858702	1.007837
63	0.630000	0.000000	6094.858702	6094.858702	1.007837
64	0.640000	0.000000	6094.858702	6094.858702	1.007837
65	0.650000	0.000000	6094.858702	6094.858702	1.007837
66	0.660000	0.000000	6094.858702	6094.858702	1.007837
67	0.670000	0.000000	6094.858702	6094.858702	1.007837
68	0.680000	0.000000	6094.858702	6094.858702	1.007837
69	0.690000	0.000000	6094.858702	6094.858702	1.007837
70	0.700000	0.000000	6094.858702	6094.858702	1.007837
71	0.710000	0.000000	6094.858702	6094.858702	1.007837
72	0.720000	0.000000	6094.858702	6094.858702	1.007837
73	0.730000	0.000000	6094.858702	6094.858702	1.007837
74	0.740000	0.000000	6094.858702	6094.858702	1.007837
75	0.750000	0.000000	6094.858702	6094.858702	1.007837
76	0.760000	0.000000	6094.858702	6094.858702	1.007837
77	0.770000	0.000000	6094.858702	6094.858702	1.007837
78	0.780000	0.000000	6094.858702	6094.858702	1.007837
79	0.790000	0.000000	6094.858702	6094.858702	1.007837
80	0.800000	0.000000	6094.858702	6094.858702	1.007837
81	0.810000	0.000000	6094.858702	6094.858702	1.007837
82	0.820000	0.000000	6094.858702	6094.858702	1.007837
83	0.830000	0.000000	6094.858702	6094.858702	1.007837
84	0.840000	0.000000	6094.858702	6094.858702	1.007837
85	0.850000	0.000000	6094.858702	6094.858702	1.007837
86	0.860000	0.000000	6094.858702	6094.858702	1.007837
87	0.870000	0.000000	6094.858702	6094.858702	1.007837
88	0.880000	0.000000	6094.858702	6094.858702	1.007837
89	0.890000	0.000000	6094.858702	6094.858702	1.007837
90	0.900000	0.000000	6094.858702	6094.858702	1.007837
91	0.910000	0.000000	6094.858702	6094.858702	1.007837
92	0.920000	0.000000	6094.858702	6094.858702	1.007837
93	0.930000	0.000000	6094.858702	6094.858702	1.007837
94	0.940000	0.000000	6094.858702	6094.858702	1.007837
95	0.950000	0.000000	6094.858702	6094.858702	1.007837
96	0.960000	0.000000	6094.858702	6094.858702	1.007837
97	0.970000	0.000000	6094.858702	6094.858702	1.007837
98	0.980000	0.000000	6094.858702	6094.858702	1.007837
99	0.990000	0.000000	6094.858702	6094.858702	1.007837
100	1.000000	0.000000	6094.858702	6094.858702	1.007837
101	1.010000	0.000000	6094.858702	6094.858702	1.007837
102	1.020000	0.000000	6094.858702	6094.858702	1.007837
103	1.030000	0.000000	6094.858702	6094.858702	1.007837
104	1.040000	0.000000	6094.858702	6094.858702	1.007837
105	1.050000	0.000000	6094.858702	6094.858702	1.007837
106	1.060000	0.000000	6094.858702	6094.858702	1.007837
107	1.070000	0.000000	6094.858702	6094.858702	1.007837
108	1.080000	0.000000	6094.858702	6094.858702	1.007837
109	1.090000	0.000000	6094.858702	6094.858702	1.007837
110	1.100000	0.000000	6094.858702	6094.858702	1.007837
111	1.110000	-0.000229	6094.859394	6094.859165	1.007837
112	1.120000	-0.001722	6094.860891	6094.859168	1.007837
113	1.130000	-0.003457	6094.862629	6094.859172	1.007838
114	1.140000	-0.006196	6094.865347	6094.859151	1.007838
115	1.150000	-0.010044	6094.869203	6094.859159	1.007839
116	1.160000	-0.014526	6094.873696	6094.859169	1.007839
117	1.170000	-0.019962	6094.879075	6094.859113	1.007840
118	1.180000	-0.026676	6094.885732	6094.859056	1.007841
119	1.190000	-0.034620	6094.893694	6094.859074	1.007842
120	1.200000	-0.043818	6094.902914	6094.859096	1.007844
121	1.210000	-0.054538	6094.913662	6094.859123	1.007845
122	1.220000	-0.067115	6094.926273	6094.859158	1.007847
123	1.230000	-0.081967	6094.941168	6094.859202	1.007849
124	1.240000	-0.099618	6094.958875	6094.859256	1.007852
125	1.250000	-0.120733	6094.980058	6094.859325	1.007855
126	1.260000	-0.146145	6095.005558	6094.859412	1.007859
127	1.270000	-0.176913	6095.036435	6094.859523	1.007864
128	1.280000	-0.214675	6095.074528	6094.859853	1.007869
129	1.290000	-0.262691	6095.122239	6094.859548	1.007876
130	1.300000	-0.321763	6095.181507	6094.859744	1.007885
131	1.310000	-0.394448	6095.254461	6094.860013	1.007896
132	1.320000	-0.484907	6095.344791	6094.859884	1.007909
133	1.330000	-0.596727	6095.457426	6094.860698	1.007926
134	1.340000	-0.734992	6095.596383	6094.861392	1.007947
135	1.350000	-0.902241	6095.763606	6094.861365	1.007972
136	1.360000	-1.096775	6095.957225	6094.860450	1.008002
137	1.370000	-1.306292	6096.163422	6094.857130	1.008036
138	1.380000	-1.487703	6096.335502	6094.847800	1.008070
139	1.390000	-1.519964	6096.344537	6094.824573	1.008093
140	1.400000	-1.107537	6095.881287	6094.773750	1.008073
141	1.410000	0.341461	6094.359751	6094.701212	1.007942
142	1.420000	3.384609	6091.361872	6094.746481	1.007585
143	1.430000	6.466300	6088.575388	6095.041688	1.007016
144	1.440000	5.579754	6089.356779	6094.936533	1.006777
145	1.450000	1.979874	6092.702613	6094.682487	1.007242
146	1.460000	-0.421989	6095.112911	6094.690922	1.007772
147	1.470000	-0.949495	6095.700345	6094.750850	1.007996
148	1.480000	-0.234686	6095.041327	6094.806641	1.007962
149	1.490000	0.891009	6093.987452	6094.878461	1.007789
150	1.500000	1.397438	6093.519639	6094.917077	1.007632
151	1.510000	0.774659	6094.100958	6094.875617	1.007643
152	1.520000	-0.421367	6095.249833	6094.828466	1.007812
153	1.530000	-1.454119	6096.274661	6094.820542	1.008005
154	1.540000	-2.087079	6096.921097	6094.834018	1.008141
155	1.550000	-2.413033	6097.260321	6094.847289	1.008216
156	1.560000	-2.573900	6097.429561	6094.855660	1.008253
157	1.570000	-2.669889	6097.529514	6094.859625	1.008272
158	1.580000	-2.749961	6097.609792	6094.859832	1.008286
159	1.590000	-2.816278	6097.671829	6094.855551	1.008298
160	1.600000	-2.813534	6097.657160	6094.843626	1.008306
161	1.610000	-2.592167	6097.409902	6094.817735	1.008294
162	1.620000	-1.846246	6096.622388	6094.776142	1.008225
163	1.630000	-0.161285	6094.915640	6094.754355	1.008038
164	1.640000	2.336557	6092.526324	6094.862881	1.007682
165	1.650000	3.728522	6091.277115	6095.005637	1.007306
166	1.660000	2.156463	6092.716274	6094.872738	1.007318
167	1.670000	-0.664487	6095.419496	6094.755009	1.007737
168	1.680000	-2.711525	6097.483565	6094.772041	1.008152
169	1.690000	-3.779249	6098.592319	6094.813070	1.008396
170	1.700000	-4.263794	6099.101619	6094.837825	1.008513
171	1.710000	-4.459697	6099.308096	6094.848399	1.008564
172	1.720000	-4.502205	6099.353963	6094.851757	1.008582
173	1.730000	-4.437029	6099.289596	6094.852568	1.008579
174	1.740000	-4.285094	6099.140489	6094.855395	1.008561
175	1.750000	-4.101325	6098.964990	6094.863665	1.008532
176	1.760000	-4.007663	6098.882173	6094.874510	1.008506
177	1.770000	-4.154102	6099.033814	6094.879712	1.008507
178	1.780000	-4.610413	6099.483645	6094.873232	1.008557
179	1.790000	-5.289610	6100.149243	6094.859634	1.008655
180	1.800000	-6.002443	6100.849025	6094.846582	1.008774
181	1.810000	-6.563616	6101.400703	6094.837087	1.008883
182	1.820000	-6.842087	6101.673126	6094.831040	1.008955
183	1.830000	-6.764301	6101.593964	6094.829663	1.008974
184	1.840000	-6.338996	6101.175436	6094.836440	1.008931
185	1.850000	-5.697253	6100.545113	6094.847860	1.008840
186	1.860000	-5.041412	6099.893048	6094.851636	1.008729
187	1.870000	-4.498762	6099.338687	6094.839926	1.008631
188	1.880000	-4.004850	6098.807561	6094.802710	1.008553
189	1.890000	-3.173423	6097.917818	6094.744395	1.008461
190	1.900000	-1.467388	6096.211776	6094.744388	1.008265
191	1.910000	0.696757	6094.183185	6094.879942	1.007923
192	1.920000	1.219346	6093.766598	6094.985944	1.007650
193	1.930000	-1.221683	6096.059374	6094.837691	1.007815
194	1.940000	-4.577733	6099.261556	6094.683824	1.008357
195	1.950000	-6.391482	6101.059871	6094.668389	1.008810
196	1.960000	-6.072023	6100.778977	6094.706954	1.008927
197	1.970000	-4.138029	6098.921165	6094.783137	1.008723
198	1.980000	-1.827740	6096.710766	6094.883026	1.008340
199	1.990000	-0.657469	6095.579582	6094.922114	1.008027
200	2.000000	-1.242600	6096.129913	6094.887314	1.007979
201	2.010000	-3.006286	6097.828291	6094.822005	1.008192
202	2.020000	-4.849752	6099.638086	6094.788334	1.008509
203	2.030000	-6.058057	6100.856363	6094.798306	1.008764
204	2.040000	-6.565383	6101.387989	6094.822606	1.008899
205	2.050000	-6.600720	6101.443822	6094.843102	1.008936
206	2.060000	-6.401405	6101.258022	6094.856617	1.008917
207	2.070000	-6.136297	6101.000652	6094.864355	1.008875
208	2.080000	-5.908497	6100.776121	6094.867624	1.008832
209	2.090000	-5.765835	6100.633782	6094.867947	1.008801
210	2.100000	-5.713578	6100.579672	6094.866094	1.008785
211	2.110000	-5.727661	6100.590981	6094.863320	1.008783
212	2.120000	-5.772003	6100.632163	6094.860159	1.008788
213	2.130000	-5.805872	6100.662279	6094.856408	1.008796
214	2.140000	-5.783224	6100.635618	6094.852394	1.008798
215	2.150000	-5.655158	6100.502729	6094.847571	1.008787
216	2.160000	-5.368902	6100.212390	6094.843488	1.008754
217	2.170000	-4.893767	6099.738251	6094.844484	1.008692
218	2.180000	-4.286664	6099.143376	6094.856711	1.008601
219	2.190000	-3.761240	6098.638512	6094.877273	1.008501
220	2.200000	-3.624325	6098.511433	6094.887108	1.008440
221	2.210000	-4.014446	6098.888872	6094.874426	1.008462
222	2.220000	-4.751285	6099.606093	6094.854808	1.008561
223	2.230000	-5.533809	6100.378792	6094.844983	1.008692
224	2.240000	-6.178872	6101.023971	6094.845099	1.008812
225	2.250000	-6.652179	6101.501410	6094.849231	1.008903
226	2.260000	-6.988957	6101.842316	6094.853359	1.008969
227	2.270000	-7.232512	6102.088193	6094.855680	1.009016
228	2.280000	-7.410534	6102.266998	6094.856465	1.009050
229	2.290000	-7.530932	6102.386582	6094.855650	1.009075
230	2.300000	-7.585181	6102.439749	6094.854568	1.009089
231	2.310000	-7.564681	6102.419303	6094.854622	1.009092
232	2.320000	-7.480523	6102.338159	6094.857637	1.009083
233	2.330000	-7.386834	6102.251830	6094.864997	1.009067
234	2.340000	-7.386242	6102.258326	6094.872084	1.009057
235	2.350000	-7.577248	6102.450012	6094.872763	1.009071
236	2.360000	-7.971907	6102.836766	6094.864859	1.009120
237	2.370000	-8.466963	6103.318905	6094.851942	1.009197
