Step	Type	Velocity
05000	0	2.414327
05000	0	3.356881
05000	0	3.148884
05000	0	3.505160
05000	0	2.470765
05000	0	1.291835
05000	0	1.413238
05000	0	2.804195
05000	0	3.164992
05000	0	4.095460
05000	0	0.997793
05000	0	1.671944
05000	0	1.572754
05000	0	2.593424
05000	0	3.252756
05000	0	5.597761
05000	0	0.731843
05000	0	1.429715
05000	0	3.384513
05000	0	1.742738
05000	0	3.003756
05000	0	2.829907
05000	0	3.537934
05000	0	0.660972
05000	0	3.150418
05000	0	3.233389
05000	0	2.801470
05000	0	3.111099
05000	0	4.975791
05000	0	2.948674
05000	0	4.075177
05000	0	2.803461
05000	0	0.594270
05000	0	0.851349
05000	0	3.282998
05000	0	1.501349
05000	0	3.182675
05000	0	2.261019
05000	0	2.418046
05000	0	1.032439
05000	0	1.980429
05000	0	2.164252
05000	0	3.026318
05000	0	1.489236
05000	0	2.278530
05000	0	3.512290
05000	0	1.118328
05000	0	2.739835
05000	0	0.919855
05000	0	0.991915
05000	0	3.204392
05000	0	4.565173
05000	0	3.729856
05000	0	2.961353
05000	0	4.713474
05000	0	1.513277
05000	0	1.710105
05000	0	2.532263
05000	0	2.987092
05000	0	2.932239
05000	0	2.152417
05000	0	3.549403
05000	0	3.789721
05000	0	2.188813
05000	0	2.939811
05000	0	2.717584
05000	0	1.870891
05000	0	3.399908
05000	0	4.072797
05000	0	3.206560
05000	0	3.536498
05000	0	4.015363
05000	0	1.117694
05000	0	1.503944
05000	0	3.020651
05000	0	2.266666
05000	0	4.277352
05000	0	0.582526
05000	0	1.536159
05000	0	4.604207
05000	0	2.004481
05000	0	3.438638
05000	0	0.205190
05000	0	0.775951
05000	0	3.109138
05000	0	2.630242
05000	0	4.255006
05000	0	1.721198
05000	0	4.410407
05000	0	1.743088
05000	0	2.397585
05000	0	1.865002
05000	0	3.339798
05000	0	1.085261
05000	0	1.116640
05000	0	3.470860
05000	0	1.999759
05000	0	1.027649
05000	0	3.721585
05000	0	1.794478
05000	0	1.470841
05000	0	1.044121
05000	0	2.911193
05000	0	1.434806
05000	0	2.950261
05000	0	1.318246
05000	0	0.926529
05000	0	0.514201
05000	0	2.148588
05000	0	2.697826
05000	0	5.695425
05000	0	2.280371
05000	0	1.569421
05000	0	2.530649
05000	0	4.464723
05000	0	0.351798
05000	0	1.855345
05000	0	2.869294
05000	0	3.799958
05000	0	1.316946
05000	0	1.853712
05000	0	5.766768
05000	0	3.221109
05000	0	2.610884
05000	0	2.061905
